text,label,source
!! rt as a woman you shouldn't complain about cleaning up your house. & as a man you should always take the trash out..,0,davidson
!! rt boy dats cold..tyga dwn bad for cuffin dat hoe in the 1st place!!,1,davidson
!! rt dawg!! rt you ever fuck a bitch and she start to cry? you be confused as shit,1,davidson
!! rt she look like a tranny,1,davidson
!! rt the shit you hear about me might be true or it might be faker than the bitch who told it to ya ,1,davidson
"!!"" the shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! face with tears of joy face with tears of joy face with tears of joy """,1,davidson
"!!"" i can not just sit up and hate on another bitch .. i got too much shit going on!""",1,davidson
"!!"" cause i'm tired of you big bitches coming for us skinny girls!!""",1,davidson
""" & you might not get ya bitch back & thats that """,1,davidson
""" hobbies include fighting mariam""bitch",1,davidson
""" keeks is a bitch she curves everyone "" lol i walked into a conversation like this. smh",1,davidson
""" murda gang bitch its gang land """,1,davidson
""" so hoes that smoke are losers ? "" yea .. go on ig",1,davidson
""" bad bitches is the only thing that i like """,1,davidson
""" bitch get up off me """,1,davidson
""" bitch nigger miss me with it """,1,davidson
""" bitch plz whatever """,1,davidson
""" bitch who do you love """,1,davidson
""" bitches get cut off everyday b """,1,davidson
""" black bottle & a bad bitch """,1,davidson
""" broke bitch cant tell me nothing """,1,davidson
""" cancel that bitch like nino """,1,davidson
""" cant you see these hoes wont change """,1,davidson
""" fuck no that bitch dont even suck dick "" face with tears of joy face with tears of joy face with tears of joy the kermit videos bout to fuck ig up",1,davidson
""" got ya bitch tip toeing on my hardwood floors "" face with tears of joy",1,davidson
""" her pussy lips like heaven doors "" relieved face",1,davidson
""" hoe what its hitting for """,1,davidson
""" i met that pussy on ocean dr . i gave that pussy a pill "" relieved face",1,davidson
""" i need a trippy bitch who fuck on hennessy """,1,davidson
""" i spend my money how i want bitch its my business """,1,davidson
""" i txt my old bitch my new bitch pussy wetter """,1,davidson
""" i'd say im back to the old me but my old bitches would get excited "" relieved face",1,davidson
""" if you aint bout that murder game pussy nigger shut up """,1,davidson
""" if you're toes ain't done you pussy stinks """,1,davidson
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,1,davidson
""" is that ya bitch """,1,davidson
""" it aint nothing to cut a bitch off """,1,davidson
""" jus meet son now he ya mane ass bitches "" shots",1,davidson
""" lames crying over hoes thats tears of a clown """,1,davidson
""" like snoop said in 94 we dont love these hoes """,1,davidson
""" momma said no pussy cats inside my doghouse """,0,davidson
""" most hated but the hoes favorite "" 2 mw seven one #",1,davidson
""" nice girls bad, make me get naughty. bad yello hoe, real nice body. down south chick, like em real thick""",1,davidson
""" pimps up pimps up hoes down "" future voice",1,davidson
""" post a picture of that pussy get 200 likes """,1,davidson
""" pussy is a powerful drug "" grinning face with sweat happy hump day",1,davidson
""" quick piece of pussy call it a drive by """,1,davidson
""" running round here like some brand new pussy thats bout to get fucked """,1,davidson
""" these bitches even worst they'll send them guys for you """,1,davidson
""" these hoes like niggas that spend money not talk bout it """,1,davidson
""" we dont trust these niggas all these bitches """,1,davidson
""" yall niggas b cuffing hoes cause yall aint never have bitches """,1,davidson
