text,label,source,clean_text,predicted_label,predicted_name,true_name,prob_Safe,prob_Offensive,prob_Hate Speech,confidence
"""

Cash I am a walmart assocate and I do feel there is a link between Walmart managment and servant leadership, and here is why. The managers are not in charge of the store, the hourly associates are, they take orders directly from the customers. The customers are consitered under walmarts policies to be the boss, the hourly assocates are next in that order and so on. This is a backwards model that was set fourth by Sam Walton himself and is maintained by the current board. Grassroots survays are conducted every 3mos to a year, this survey is a rating of each manager, and is then reviewed by the district and Regional VP, then changes are made. Each level of management must answer to the hourly assocates, and so it is kinda a push/pull managment system. Take my own situation for an example. heres what happend, one night I am short of assocates in the deli(which is where I work) Temp logs did not get done, of course this is a major mistake, I was """"written up"""" for this. However I did not feel this was fair, so I wrote an email to our district manager explaining the situation, he then forwarded the matter to our regional VP. Our VP came to our store, flew in from bentonville mind you. To deal with the situation, he met with me for about an hour and also met with some other deli assocates. After a week he calls me and tells me that he can not get rid of the Written warning, however that all of the managers that had been informed that we where short, would be on probation for the next six months. I was satisfied with the outcome Because, While I was not fault free in the situation, management however was informed that I did not have enough people to help customers and deal with the food safty logs, and they failed to act accordingly and I was not happy with it, so in the end I punished them for their poor perfomance. So you can kinda see why they consiter it a servant leadership. 

Also Cash I hate the way you term 'vast left-wing conspiracy' I am myself a liberal and we liberals are not part of that conspiracy ideal, that would be your union leaders and right-wing large business owners, that are anti-walmart, As much as you would like to identify us liberals with the unions we are in no way assocated with them, infact most of us liberals dislike the unions just as much if not more then you right-wingers. Because the general public tends to identify unions with the democratic party and this is because most union voters, vote on the liberal side, this does not mean that they are liberals, just that they play the politics game. True liberals hate the unions and feel that they are just as bad or worse then a currupt big business. With a currupt big business atleast you know what they are and they make no bones about it, with a union they want to be your friend and then screw you. lol.

On the part about this entry being POV it is very much so POV however I have given up tring to balance it out myself the Anti-Walmart people always revert your edit and then threaten to get you banned for the three revert rule when you attempt to make any edits, its a freaking joke the way they act. However I have just taken on the Idea that they will destroy the entry to the point where people look at it and just shake their heads and how full of BS it is.""",1,jigsaw,""" cash i am a walmart assocate and i do feel there is a link between walmart managment and servant leadership, and here is why. the managers are not in charge of the store, the hourly associates are, they take orders directly from the customers. the customers are consitered under walmarts policies to be the boss, the hourly assocates are next in that order and so on. this is a backwards model that was set fourth by sam walton himself and is maintained by the current board. grassroots survays are conducted every 3mos to a year, this survey is a rating of each manager, and is then reviewed by the district and regional vp, then changes are made. each level of management must answer to the hourly assocates, and so it is kinda a push/pull managment system. take my own situation for an example. heres what happend, one night i am short of assocates in the deli(which is where i work) temp logs did not get done, of course this is a major mistake, i was """"written up"""" for this. however i did not feel this was fair, so i wrote an email to our district manager explaining the situation, he then forwarded the matter to our regional vp. our vp came to our store, flew in from bentonville mind you. to deal with the situation, he met with me for about an hour and also met with some other deli assocates. after a week he calls me and tells me that he can not get rid of the written warning, however that all of the managers that had been informed that we where short, would be on probation for the next six months. i was satisfied with the outcome because, while i was not fault free in the situation, management however was informed that i did not have enough people to help customers and deal with the food safty logs, and they failed to act accordingly and i was not happy with it, so in the end i punished them for their poor perfomance. so you can kinda see why they consiter it a servant leadership. also cash i hate the way you term 'vast left-wing conspiracy' i am myself a liberal and we liberals are not part of that conspiracy ideal, that would be your union leaders and right-wing large business owners, that are anti-walmart, as much as you would like to identify us liberals with the unions we are in no way assocated with them, infact most of us liberals dislike the unions just as much if not more then you right-wingers. because the general public tends to identify unions with the democratic party and this is because most union voters, vote on the liberal side, this does not mean that they are liberals, just that they play the politics game. true liberals hate the unions and feel that they are just as bad or worse then a currupt big business. with a currupt big business atleast you know what they are and they make no bones about it, with a union they want to be your friend and then screw you. lol. on the part about this entry being pov it is very much so pov however i have given up tring to balance it out myself the anti-walmart people always revert your edit and then threaten to get you banned for the three revert rule when you attempt to make any edits, its a freaking joke the way they act. however i have just taken on the idea that they will destroy the entry to the point where people look at it and just shake their heads and how full of bs it is.""",0,Safe,Offensive,0.99403054,0.0048629567,0.0011065362,0.99403054
"Wow 

Way to assume, my man.  I'm not saying that all of the stories about King Arthur were true, but Excalibur was a very real sword, and I do have it in my possession.  This is an irrefutable fact.  I have been interviewed by many historians and the like, and you're the first one that seems to think you know more than all of them.

Can you prove that I'm wrong?  Not only that my sword isn't the real thing, but that my claiming it is is such a travesty, that you cannot allow anyone else to see it at all?  I wonder what would happen, if the other Wikipedophiles got their poor little minds corrupted by a comment on a talk page, eh?

Referring to [].  Next time, do some research.  I won't bring it up again, but it's insulting to have someone like you treat me like a liar.",1,jigsaw,"wow way to assume, my man. i'm not saying that all of the stories about king arthur were true, but excalibur was a very real sword, and i do have it in my possession. this is an irrefutable fact. i have been interviewed by many historians and the like, and you're the first one that seems to think you know more than all of them. can you prove that i'm wrong? not only that my sword isn't the real thing, but that my claiming it is is such a travesty, that you cannot allow anyone else to see it at all? i wonder what would happen, if the other wikipedophiles got their poor little minds corrupted by a comment on a talk page, eh? referring to []. next time, do some research. i won't bring it up again, but it's insulting to have someone like you treat me like a liar.",0,Safe,Offensive,0.9939214,0.0049600303,0.0011186313,0.9939214
"And you'll be pleased to know that this article has now come back to life with some decent references. OIC and myself are in the middle of sourcing even more for it, so don't be suprised if it gets further expansion. This is us being a little spiteful towards a user who doesn't have a snowflakes chance in hell of getting the mop.  (talk)",1,jigsaw,"and you'll be pleased to know that this article has now come back to life with some decent references. oic and myself are in the middle of sourcing even more for it, so don't be suprised if it gets further expansion. this is us being a little spiteful towards a user who doesn't have a snowflakes chance in hell of getting the mop. (talk)",0,Safe,Offensive,0.9918955,0.0068388423,0.0012656632,0.9918955
@pombuenaa I'm surprised you could read it with slits for eyes,2,davidson,i'm surprised you could read it with slits for eyes,0,Safe,Hate Speech,0.9867617,0.01112221,0.0021160822,0.9867617
"....... 
now that i think about it, luna means moon and satin means devil!
so that means you are the moon devil who else would be the moon devil
but the person who disabled my ACCOUNT!!! ( if trevor is reading this 
then i want to say that i love that snowman, i tred to make one but it
didnt work(scroll down))

further

even further

almost there....

 __
(**)
( .)
(. )
                          O   
                         O O                  
                        O   O                        
                       O     O                            
                      O       O                      
                     O         O                       
                    O           O                     
                   O             O               
                  O               O                                                             
                 O                 O          
                O                   O       
               O                     O         
              O                       O         
             O                         O
            OOOOOOOOOOOOOOOOOOOOOOOOOOOO                               
           O  O                      O  O                             
          O    O                    O    O                    
         O      O                  O      O                        
        O        O                O        O                         
       O          O              O          O               
      O            O            O            O              
     O              O          O              O     
    O                O        O                O                     
   O                  O      O                  O                                    
  O                    O    O                    O                                               
 O                      O  O                      O                          
O                        OO                        O 
OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO  SKILLS! IT TOOK 20 MINUTES TOO MAKE",1,jigsaw,".. now that i think about it, luna means moon and satin means devil! so that means you are the moon devil who else would be the moon devil but the person who disabled my account!! ( if trevor is reading this then i want to say that i love that snowman, i tred to make one but it didnt work(scroll down)) further even further almost there.. (**) ( .) (. ) o o o o o o o o o o o o o o o o o o o o o o o o o o o oo o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o oo o oo skills! it took 20 minutes too make",0,Safe,Offensive,0.98675597,0.011246968,0.001997036,0.98675597
"Wtf. I haven't even edited anything within the past day, after the others told me to stop!220.245.146.235",1,jigsaw,"wtf. i haven't even edited anything within the past day, after the others told me to stop!220.245.146.235",0,Safe,Offensive,0.9864667,0.012171617,0.0013616395,0.9864667
"how about you make a contribution to the page, can you do that? or are you just going to sit there tweaking minor things that get you off on rules. rules are for people like you who are too unintelligent to do anything your self. there are exceptions to rules, except you are not bright enough to figure that out. what do you major in, physical education? Have you ever even been inside that steel mill?  Do you realize the importance of those images? Do you realize that photographers find each others work by searching for things they are interested in? Its just an external link, stop being a douchebag. do your self a favor and go inside that mill yourself, you wont because your too weak... you just sit in your dorm room jerking off to you revisions. good luck with that.",1,jigsaw,"how about you make a contribution to the page, can you do that? or are you just going to sit there tweaking minor things that get you off on rules. rules are for people like you who are too unintelligent to do anything your self. there are exceptions to rules, except you are not bright enough to figure that out. what do you major in, physical education? have you ever even been inside that steel mill? do you realize the importance of those images? do you realize that photographers find each others work by searching for things they are interested in? its just an external link, stop being a douchebag. do your self a favor and go inside that mill yourself, you wont because your too weak.. you just sit in your dorm room jerking off to you revisions. good luck with that.",0,Safe,Offensive,0.9857619,0.012768463,0.0014695632,0.9857619
@user @user Without question Professor Ford is troubled that's being polite. Half the women in the world (probably more) have been groped at one time or an other  and don't hold on to it for 40 years. This is obviously a political ploy to deter scotus confirmation. @user #MAGA,1,olid,without question professor ford is troubled that's being polite. half the women in the world (probably more) have been groped at one time or an other and don't hold on to it for 40 years. this is obviously a political ploy to deter scotus confirmation. maga,0,Safe,Offensive,0.9856104,0.012924832,0.0014647499,0.9856104
@Fit4LifeMike @chanelisabeth hoe don't make me put up screenshots of your texts to me hoe,2,davidson,hoe don't make me put up screenshots of your texts to me hoe,1,Offensive,Hate Speech,0.0033873746,0.98532593,0.011286598,0.98532593
"The Israelis are committing massacres in Gaza, but nobody listens. There is even no photos which exposes those who permitted these massacres.",2,jigsaw,"the israelis are committing massacres in gaza, but nobody listens. there is even no photos which exposes those who permitted these massacres.",0,Safe,Hate Speech,0.9846769,0.01187964,0.0034435855,0.9846769
